MeterType,MeterNo,the_geom,POINT_X,POINT_Y,Status
Strada,1043104,POINT (-73.98784489084974 40.728196893174),987618.953224,204578.558412,Active
Strada,1043105,POINT (-73.98764958395175 40.72783617631283),987673.103706,204447.145617,Active
Strada,1043106,POINT (-73.98771383943003 40.727765057401626),987655.297968,204421.232283,Active
Strada,1043108,POINT (-73.98855648578628 40.72811630212254),987421.728881,204549.17002,Active
Strada,1043109,POINT (-73.98843885325826 40.727704407569426),987454.352175,204399.108312,Active
Strada,1043110,POINT (-73.98820270861059 40.72730705211383),987519.822845,204254.348103,Active
Strada,1043111,POINT (-73.98806662548283 40.727155301449706),987557.548163,204199.065733,Active
Strada,1043112,POINT (-73.98885298370004 40.727588315189145),987339.574846,204356.797373,Active
Strada,1043113,POINT (-73.9888813184513 40.727493896878684),987331.72578,204322.396851,Active
Strada,1043114,POINT (-73.98864542907448 40.7270947773471),987397.125256,204176.993599,Active
Strada,1043115,POINT (-73.98894023460016 40.72701129915212),987315.418398,204146.569447,Active
Strada,1043116,POINT (-73.98930871699359 40.72650913454872),987213.309022,203963.602621,Active
Strada,1043117,POINT (-73.98902005166524 40.726584901419336),987293.315096,203991.216739,Active
Strada,1043118,POINT (-73.9900374987371 40.726496190258516),987011.312707,203958.862801,Active
Strada,1043119,POINT (-73.989094210882 40.72609349262592),987272.782656,203812.178712,Active
Strada,1043120,POINT (-73.98967571720888 40.72601069760709),987111.608766,203781.994389,Active
Strada,1043121,POINT (-73.98966411148302 40.725703856224186),987114.838747,203670.202946,Active
Strada,1043122,POINT (-73.98990760159347 40.72535828316115),987047.364144,203544.292108,Active
Strada,1043123,POINT (-73.99033126311491 40.725114459854346),986929.945416,203455.446485,Active
Strada,1043124,POINT (-73.99076051352574 40.72451780333563),986810.990273,203238.053219,Active
Strada,1043126,POINT (-73.98765621201794 40.7287794328869),987671.218211,204790.803067,Inactive
Strada,1043128,POINT (-73.98223749161242 40.73621937075292),989172.527217,207501.663459,Active
Strada,1043129,POINT (-73.97907057176279 40.74060152935873),990049.794819,209098.416171,Active
Strada,1023075,POINT (-73.98725212601317 40.72060113667805),987783.648761,201811.212897,Active
Strada,1023076,POINT (-73.98753325232512 40.7200537692337),987705.750294,201611.778913,Active
Strada,1023077,POINT (-73.98786316496152 40.719416856820885),987614.331514,201379.719338,Active
Strada,1023078,POINT (-73.98809582266956 40.71896465948527),987549.861171,201214.961137,Active
Strada,1023123,POINT (-73.9917115320695 40.715160575426),986547.710616,199828.901573,Active
Strada,1023136,POINT (-73.99046363312186 40.71588445755368),986893.621669,200092.66909,Active
Strada,1023144,POINT (-73.9938762135112 40.71556777939174),985947.612078,199977.209019,Active
Strada,1023151,POINT (-73.99225404204782 40.71437620835455),986397.342478,199543.119008,Active
Strada,1023167,POINT (-73.9878929379696 40.71639738154871),987606.23048,200279.630987,Active
Strada,1033009,POINT (-73.98121483929292 40.77900774697624),989452.591945,223090.923619,Active
Strada,1033010,POINT (-73.98094105172922 40.779162249794226),989528.40577,223147.230593,Active
Strada,1033011,POINT (-73.98068784762874 40.77915106482521),989598.531942,223143.170889,Active
Strada,1033012,POINT (-73.98080994489787 40.77956854447827),989564.683584,223295.265401,Active
Strada,1033013,POINT (-73.98025009862538 40.779701911494676),989719.721988,223343.889976,Active
Strada,1033014,POINT (-73.98033104988974 40.77982839184429),989697.292243,223389.965999,Active
Strada,1033015,POINT (-73.980353211684 40.780199001720796),989691.124276,223524.990336,Active
Strada,1033016,POINT (-73.98000501840572 40.78042705338287),989787.536485,223608.099093,Active
Strada,1033017,POINT (-73.9799128464959 40.780479858995356),989813.058744,223627.343806,Active
Strada,1033018,POINT (-73.97942791965457 40.781465032342275),989947.273042,223986.306998,Active
Strada,1033019,POINT (-73.97891530362674 40.78216797671211),990089.176302,224242.447234,Active
Strada,1033020,POINT (-73.97853823613815 40.78268687882016),990193.554702,224431.526252,Active
Strada,1033021,POINT (-73.97786814345763 40.78360231272964),990379.043832,224765.096123,Active
Strada,1033022,POINT (-73.97752309627758 40.78408022942615),990474.55414,224939.241772,Active
Strada,1033023,POINT (-73.97695832534127 40.78485465894095),990630.882568,225221.433465,Active
Strada,1033024,POINT (-73.97651530944518 40.78546573343511),990753.506338,225444.101327,Active
Strada,1033026,POINT (-73.97567655317077 40.78661097623693),990985.663354,225861.415781,Active
Strada,1033027,POINT (-73.97516764783484 40.78731114594425),991126.517403,226116.551097,Active
Strada,1033028,POINT (-73.97484554703946 40.78808298909965),991215.632054,226397.785443,Active
Strada,1033029,POINT (-73.97541884109829 40.78794697957728),991056.892542,226348.187445,Active
Strada,1033030,POINT (-73.97537148856723 40.78736524225647),991070.06476,226136.2443,Active
Strada,1033031,POINT (-73.97586223291819 40.786692552046496),990934.23662,225891.122414,Active
Strada,1033032,POINT (-73.97677527441269 40.785436281193704),990681.518293,225433.351676,Active
Strada,1033033,POINT (-73.977196505062 40.78486420570397),990564.923054,225224.894416,Active
Strada,1033034,POINT (-73.97774414046515 40.784113242385004),990413.337071,224951.253887,Active
Strada,1033035,POINT (-73.97812937246015 40.783585081076936),990306.702442,224758.799876,Active
Strada,1033036,POINT (-73.9788061656573 40.78265430503303),990119.358,224419.640449,Active
Strada,1033037,POINT (-73.97912857372137 40.78221393391741),990030.109491,224259.176859,Active
Strada,1033038,POINT (-73.9796506601006 40.78150045350549),989885.583861,223999.197721,Active
Strada,1033039,POINT (-73.9801474208333 40.781409518333795),989748.017535,223966.035385,Active
Strada,1033040,POINT (-73.98019746595105 40.78074363554804),989734.212773,223723.428587,Active
Strada,1033041,POINT (-73.98085698433366 40.78088673228257),989551.551065,223775.522971,Active
Strada,1033042,POINT (-73.98090258000893 40.78080166043077),989538.930355,223744.525658,Active
Strada,1033043,POINT (-73.98053210140706 40.78028643029828),989641.574179,223556.832464,Active
Strada,1033044,POINT (-73.98101141157092 40.77963056391022),989508.882515,223317.849018,Active
Strada,1033045,POINT (-73.96672361090293 40.793353312298386),993463.984185,228318.695643,Active
Strada,1033046,POINT (-73.96742425370412 40.79317509004421),993270.00557,228253.690196,Active
Strada,1033047,POINT (-73.9679289784507 40.79247225247154),993130.344432,227997.570629,Active
Strada,1033048,POINT (-73.96836312040863 40.79187709761007),993010.210486,227780.69147,Active
Strada,1043057,POINT (-73.98148101010668 40.736397207223746),989382.157375,207566.498303,Active
Strada,1043099,POINT (-73.98691616606251 40.729108239443065),987876.312289,204910.627302,Active
Strada,1043132,POINT (-73.98743399175551 40.728447921700806),987732.826356,204670.031983,Active
Strada,1113037,POINT (-74.00884154295736 40.71612419911269),981799.002594,200179.994047,Active
Strada,1153023,POINT (-73.99110874886206 40.726841096332585),986714.380886,204084.490831,Active
Strada,1243104,POINT (-74.00015733256426 40.720634124681254),984206.388199,201822.974357,Active
Strada,1243106,POINT (-73.99755849695431 40.71945820791249),984926.784396,201394.561171,Active
Strada,1243107,POINT (-73.99667595523239 40.71916537604654),985171.42892,201287.881595,Active
Strada,1363001,POINT (-73.93967215205775 40.83523339422658),1000943.82224,243581.107704,Active
Strada,1393027,POINT (-73.98410035266562 40.77505859126261),988653.703779,221651.95504,Active
Strada,1403109,POINT (-73.9927809955513 40.76315819686491),986249.795201,217315.928607,Inactive
Strada,1403110,POINT (-73.99241389425892 40.76365805487272),986351.473147,217498.05193,Inactive
Strada,1413031,POINT (-74.00492406466392 40.73736125615067),982885.416431,207917.227588,Active
Strada,1413032,POINT (-74.00433246337059 40.73785664552696),983049.373124,208097.704917,Active
Strada,1413033,POINT (-74.00391788319769 40.73779655240081),983164.262002,208075.805683,Active
Strada,1433011,POINT (-73.97800173920805 40.75647084073989),990344.529138,214880.188728,Active
Strada,1433105,POINT (-73.98157617793092 40.76288041582412),989353.754216,217215.178152,Active
Strada,1433180,POINT (-73.97772649386793 40.75624968141186),990420.805232,214799.632458,Active
Strada,1433190,POINT (-73.97544279227124 40.756205367111555),991053.502129,214783.65644,Inactive
Strada,1433194,POINT (-73.97285582404308 40.75511931931943),991770.336653,214388.185447,Active
Strada,1433219,POINT (-73.97030150018684 40.75731902855446),992477.744359,215189.840667,Active
Strada,1433316,POINT (-73.97915239232711 40.755317112209624),990025.845392,214459.769949,Active
Strada,1433361,POINT (-73.9743081125945 40.75563474772127),991367.92276,214575.85141,Active
Strada,1433362,POINT (-73.97397526258368 40.75549421309089),991460.153875,214524.6773,Active
Strada,1433445,POINT (-73.9764870714189 40.75408099124997),990764.395424,214009.597949,Active
Strada,1433911,POINT (-73.96644714166025 40.76225897695511),993544.875755,216990.010952,Inactive
Strada,1433278,POINT (-73.96903701125986 40.760059093194435),992827.708554,216188.256978,Active
Strada,1433280,POINT (-73.96847703084073 40.7598216448235),992982.87163,216101.802098,Active
Strada,1443543,POINT (-73.98525040238334 40.74225680906574),988337.188336,209701.13839,Active
Strada,1443643,POINT (-73.98718196168035 40.744997486828915),987801.797346,210699.570449,Active
Strada,1453296,POINT (-73.9926232773827 40.73752418277092),986294.272474,207976.634621,Active
Strada,1443570,POINT (-73.99283865453191 40.74373299428202),986234.401203,210238.696698,Active
Strada,1453086,POINT (-73.9873119124495 40.738095135324194),987766.153061,208184.819244,Active
Strada,1453087,POINT (-73.98645324431942 40.73773304430303),988004.129619,208052.933681,Active
Strada,1473049,POINT (-74.00051385409849 40.721128111698285),984107.563265,202002.94939,Active
Strada,1473051,POINT (-74.00107714652962 40.72023334972334),983951.418564,201676.961525,Active
